n,b,noise_ratio,confidence,lmsr_mean,cfmm_mean,lmsr_std,cfmm_std
4,50,0.3,0.2,-7.934778007546908,-3.141807618517004,14.000439419254851,12.19340460802634
4,50,0.3,0.5,-4.109379505422363,-1.4237366215283116,8.038768960790295,6.866431215268431
4,50,0.3,0.8,-0.7118206951829674,-0.08601835977096298,6.2910143420151945,5.827633324795261
4,50,0.6,0.05,-1.1221550306297994,-9.999536506512811,13.891643896051686,11.778566732745414
4,50,0.6,0.2,-6.179277556187189,-3.973461372791682,12.619539820213747,12.163751639509334
4,50,0.6,0.5,-0.07457073309275758,-1.9216009903301947,7.153209362019205,6.588860381487501
4,50,0.6,0.8,-0.07689411271332532,-1.0467047031306898,4.195853368772262,3.9058962269824526
4,50,0.9,0.05,-2.675990170204158,0.261826795547981,13.190613832034856,11.230148541834545
4,50,0.9,0.2,-2.601356455407182,0.5674777563332949,6.904792280812335,6.160237004911374
4,50,0.9,0.5,-0.5412467410911751,0.37813620625239525,4.252797954497755,4.385968433159351
4,50,0.9,0.8,1.063599750451693,0.3802423023343069,3.8897549415045316,3.1397695491195217
4,200,0.3,0.05,-6.70174439569168,7.8149732380048835,54.714926937757774,42.995299323450155
4,200,0.3,0.2,-7.130296013144973,-7.12163141961133,35.497186978469315,36.0941415362098
4,200,0.3,0.5,2.0442099839338423,0.18778117295020672,15.498053524934122,15.094814584411132
4,200,0.3,0.8,-2.481112131974704,1.2138983935830334,9.36097741709574,11.891275445185673
4,200,0.6,0.05,-10.221760804637713,-25.30778304793608,50.50609276874346,48.39109603988041
4,200,0.6,0.2,-3.25560781083735,-5.40026539614089,26.191136642846548,24.270475296806502
4,200,0.6,0.5,-2.3652773489192342,0.6665798219508455,11.251378159387878,10.362136767249451
4,200,0.6,0.8,-1.894568579357427,-0.5630571059084988,6.574979905046635,6.651641827298733
4,200,0.9,0.05,-9.683779087628015,-0.1090929544176466,21.002562474163348,19.300851786365577
4,200,0.9,0.2,-1.9569347718571228,-1.7727432351791128,9.328273146056365,10.041659087038793
4,200,0.9,0.5,-1.9825268672642489,-1.3890759952437735,5.0590663323306,4.524119516291729
4,200,0.9,0.8,-1.1576820941894637,1.7525839905639733,3.3583923196563368,4.817818852594887
4,800,0.3,0.05,-37.653701260287306,-13.499165995253481,130.5072351712001,123.84947977239223
4,800,0.3,0.2,-13.139291094888618,-21.634593523052327,52.443433206651775,52.52947582092815
4,800,0.3,0.5,-14.262719690193117,-3.2885361453646795,21.444965505962276,20.877132512944094
4,800,0.3,0.8,-4.110598653575852,-3.681093976229648,13.172090629906451,13.598727704642245
4,800,0.6,0.05,-9.590642472570407,-77.83707355700844,77.53217678031214,73.50441020422342
4,800,0.6,0.2,0.46016752350653517,-5.163494331539961,28.954098511287704,30.962617683363895
4,800,0.6,0.5,-2.2364113042535783,-2.7817599911872333,13.298047243756935,14.057401622434243
4,800,0.6,0.8,-2.732291751482136,-2.8133473954716997,8.299758406357757,8.15236638904994
4,800,0.9,0.05,-4.302596167442116,-0.11809946414156833,20.89281433393134,20.362717058533057
4,800,0.9,0.2,-2.7650020059060316,-0.5897570734813441,8.403946063333795,7.956862429353036
4,800,0.9,0.5,-1.155977460617172,-1.0805958277666887,4.28227108954043,4.681791921661619
4,800,0.9,0.8,-1.2636755553402625,-0.16659152326594506,3.8168704554356276,3.3445996987679414
8,50,0.3,0.05,-9.756855226948973,-3.754325169801977,23.526965427556366,15.470370652615529
8,50,0.3,0.2,-4.869606024712069,1.3262151785176326,14.547100897541531,8.465575568848264
8,50,0.3,0.5,-1.592763794398247,-1.9365519145933,6.582430238840519,4.742402781175292
8,50,0.3,0.8,-0.5516853956491319,-0.3538561658339441,3.1409973749077005,1.880593078874955
8,50,0.6,0.05,-0.806588501313694,-1.7439429291665667,18.988262401774758,14.59897986207772
8,50,0.6,0.2,-3.7029708457878185,-0.17901426991894737,12.262057951153231,9.310654702200534
